role,fit,natural_percentage,adapted_percentage,compressed,over_time
{'S': 'Gerente de Recursos Humanos'},{'N': '49'},"{'S': '[{""F"": 45, ""L"": 59, ""O"": 88, ""W"": 43}]'}","{'S': '[{""F"": 25, ""L"": 90, ""O"": 46, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor Comercial'},{'N': '93'},"{'S': '[{""F"": 75, ""L"": 95, ""O"": 25, ""W"": 48}]'}","{'S': '[{""F"": 95, ""L"": 29, ""O"": 20, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Secretaria Administrativa e de Suporte'},{'N': '71'},"{'S': '[{""F"": 43, ""L"": 51, ""O"": 88, ""W"": 53}]'}","{'S': '[{""F"": 47, ""L"": 81, ""O"": 41, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CFO Chief Financial Officer'},{'N': '78'},"{'S': '[{""F"": 88, ""L"": 59, ""O"": 44, ""W"": 43}]'}","{'S': '[{""F"": 79, ""L"": 62, ""O"": 30, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Financeiro'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Analista de Midias Sociais'},{'N': '77'},"{'S': '[{""F"": 28, ""L"": 74, ""O"": 92, ""W"": 48}]'}","{'S': '[{""F"": 47, ""L"": 39, ""O"": 65, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Medico'},{'N': '60'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 75, ""O"": 46, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '45'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 32, ""L"": 62, ""O"": 46, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Closer'},{'N': '87'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 67, ""W"": 43}]'}","{'S': '[{""F"": 32, ""L"": 67, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '85'},"{'S': '[{""F"": 60, ""L"": 74, ""O"": 29, ""W"": 48}]'}","{'S': '[{""F"": 79, ""L"": 62, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '71'},"{'S': '[{""F"": 43, ""L"": 95, ""O"": 58, ""W"": 53}]'}","{'S': '[{""F"": 8, ""L"": 91, ""O"": 46, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '53'},"{'S': '[{""F"": 43, ""L"": 28, ""O"": 92, ""W"": 79}]'}","{'S': '[{""F"": 62, ""L"": 29, ""O"": 75, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Contas'},{'N': '66'},"{'S': '[{""F"": 45, ""L"": 95, ""O"": 58, ""W"": 34}]'}","{'S': '[{""F"": 32, ""L"": 89, ""O"": 30, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'enfermeiro'},{'N': '43'},"{'S': '[{""F"": 75, ""L"": 59, ""O"": 25, ""W"": 48}]'}","{'S': '[{""F"": 47, ""L"": 90, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Vendas'},{'N': '66'},"{'S': '[{""F"": 60, ""L"": 95, ""O"": 29, ""W"": 43}]'}","{'S': '[{""F"": 53, ""L"": 62, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador Administrativo de Pessoal'},{'N': '56'},"{'S': '[{""F"": 39, ""L"": 87, ""O"": 52, ""W"": 88}]'}","{'S': '[{""F"": 37, ""L"": 67, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '71'},"{'S': '[{""F"": 54, ""L"": 95, ""O"": 67, ""W"": 28}]'}","{'S': '[{""F"": 8, ""L"": 91, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Comunicacao'},{'N': '63'},"{'S': '[{""F"": 39, ""L"": 74, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 40, ""L"": 86, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Gestao de Pessoas'},{'N': '50'},"{'S': '[{""F"": 24, ""L"": 87, ""O"": 80, ""W"": 79}]'}","{'S': '[{""F"": 32, ""L"": 62, ""O"": 41, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Desenvolvimento de RH'},{'N': '0'},"{'S': '[{""F"": 60, ""L"": 45, ""O"": 52, ""W"": 64}]'}","{'S': '[{""F"": 69, ""L"": 50, ""O"": 46, ""W"": 73}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Analista Comercial'},{'N': '0'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 39, ""O"": 53, ""W"": 53}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Gerente Executivo de RH'},{'N': '75'},"{'S': '[{""F"": 88, ""L"": 95, ""O"": 18, ""W"": 43}]'}","{'S': '[{""F"": 53, ""L"": 89, ""O"": 27, ""W"": 8}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '46'},"{'S': '[{""F"": 50, ""L"": 45, ""O"": 58, ""W"": 79}]'}","{'S': '[{""F"": 47, ""L"": 22, ""O"": 80, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Comercial'},{'N': '83'},"{'S': '[{""F"": 95, ""L"": 95, ""O"": 29, ""W"": 34}]'}","{'S': '[{""F"": 62, ""L"": 86, ""O"": 20, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '58'},"{'S': '[{""F"": 20, ""L"": 87, ""O"": 67, ""W"": 79}]'}","{'S': '[{""F"": 37, ""L"": 62, ""O"": 65, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Assistente Comercial'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 59, ""O"": 36, ""W"": 64}]'}","{'S': '[{""F"": 40, ""L"": 67, ""O"": 59, ""W"": 43}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Analista de Designer Grafico'},{'N': '0'},"{'S': '[{""F"": 54, ""L"": 59, ""O"": 44, ""W"": 53}]'}","{'S': '[{""F"": 76, ""L"": 39, ""O"": 41, ""W"": 65}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '57'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 58, ""W"": 43}]'}","{'S': '[{""F"": 37, ""L"": 89, ""O"": 30, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Logistica'},{'N': '60'},"{'S': '[{""F"": 28, ""L"": 74, ""O"": 52, ""W"": 92}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 53, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Administrativo'},{'N': '55'},"{'S': '[{""F"": 43, ""L"": 95, ""O"": 58, ""W"": 53}]'}","{'S': '[{""F"": 37, ""L"": 91, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Geral'},{'N': '49'},"{'S': '[{""F"": 39, ""L"": 51, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 46, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Executivo de Negocios'},{'N': '62'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 44, ""W"": 64}]'}","{'S': '[{""F"": 69, ""L"": 67, ""O"": 27, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Negocios'},{'N': '67'},"{'S': '[{""F"": 75, ""L"": 59, ""O"": 29, ""W"": 48}]'}","{'S': '[{""F"": 83, ""L"": 13, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Desenvolvimento'},{'N': '67'},"{'S': '[{""F"": 35, ""L"": 35, ""O"": 80, ""W"": 88}]'}","{'S': '[{""F"": 47, ""L"": 22, ""O"": 65, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador'},{'N': '62'},"{'S': '[{""F"": 32, ""L"": 74, ""O"": 92, ""W"": 59}]'}","{'S': '[{""F"": 47, ""L"": 39, ""O"": 59, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Marketing Digital E Relacionamentos'},{'N': '47'},"{'S': '[{""F"": 45, ""L"": 59, ""O"": 80, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 81, ""O"": 46, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Comunicacao'},{'N': '54'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 37, ""L"": 75, ""O"": 46, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '35'},"{'S': '[{""F"": 39, ""L"": 22, ""O"": 80, ""W"": 92}]'}","{'S': '[{""F"": 47, ""L"": 39, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Executivo de RH'},{'N': '64'},"{'S': '[{""F"": 50, ""L"": 59, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 32, ""L"": 75, ""O"": 53, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Back Office'},{'N': '67'},"{'S': '[{""F"": 50, ""L"": 45, ""O"": 36, ""W"": 79}]'}","{'S': '[{""F"": 53, ""L"": 39, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Departamento Pessoal'},{'N': '62'},"{'S': '[{""F"": 45, ""L"": 59, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 47, ""L"": 62, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Atendente'},{'N': '64'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 75, ""O"": 41, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Sustentabilidade'},{'N': '76'},"{'S': '[{""F"": 24, ""L"": 74, ""O"": 80, ""W"": 79}]'}","{'S': '[{""F"": 8, ""L"": 13, ""O"": 80, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Contabil'},{'N': '65'},"{'S': '[{""F"": 39, ""L"": 59, ""O"": 80, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 62, ""O"": 46, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '88'},"{'S': '[{""F"": 54, ""L"": 87, ""O"": 36, ""W"": 48}]'}","{'S': '[{""F"": 40, ""L"": 89, ""O"": 30, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Executivo de RH'},{'N': '51'},"{'S': '[{""F"": 60, ""L"": 19, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 95, ""L"": 29, ""O"": 27, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador De Vendas'},{'N': '83'},"{'S': '[{""F"": 75, ""L"": 74, ""O"": 36, ""W"": 28}]'}","{'S': '[{""F"": 62, ""L"": 75, ""O"": 30, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Remuneracao'},{'N': '0'},"{'S': '[{""F"": 45, ""L"": 45, ""O"": 52, ""W"": 64}]'}","{'S': '[{""F"": 69, ""L"": 75, ""O"": 30, ""W"": 65}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Business Partner'},{'N': '76'},"{'S': '[{""F"": 88, ""L"": 59, ""O"": 25, ""W"": 53}]'}","{'S': '[{""F"": 83, ""L"": 50, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Dho - Remuneracao'},{'N': '83'},"{'S': '[{""F"": 20, ""L"": 74, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 25, ""L"": 67, ""O"": 59, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Business Partner'},{'N': '68'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 32, ""L"": 88, ""O"": 30, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Marketing'},{'N': '0'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 52, ""W"": 59}]'}","{'S': '[{""F"": 25, ""L"": 29, ""O"": 80, ""W"": 73}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Product Owner'},{'N': '59'},"{'S': '[{""F"": 28, ""L"": 87, ""O"": 58, ""W"": 64}]'}","{'S': '[{""F"": 37, ""L"": 62, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Operacoes'},{'N': '46'},"{'S': '[{""F"": 28, ""L"": 95, ""O"": 88, ""W"": 48}]'}","{'S': '[{""F"": 8, ""L"": 90, ""O"": 59, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Administrativo'},{'N': '54'},"{'S': '[{""F"": 32, ""L"": 74, ""O"": 80, ""W"": 53}]'}","{'S': '[{""F"": 32, ""L"": 50, ""O"": 75, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '81'},"{'S': '[{""F"": 75, ""L"": 74, ""O"": 36, ""W"": 53}]'}","{'S': '[{""F"": 76, ""L"": 62, ""O"": 27, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador Comercial'},{'N': '72'},"{'S': '[{""F"": 88, ""L"": 87, ""O"": 44, ""W"": 28}]'}","{'S': '[{""F"": 47, ""L"": 91, ""O"": 20, ""W"": 8}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Comercial'},{'N': '68'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 52, ""W"": 48}]'}","{'S': '[{""F"": 62, ""L"": 81, ""O"": 27, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '53'},"{'S': '[{""F"": 88, ""L"": 28, ""O"": 29, ""W"": 59}]'}","{'S': '[{""F"": 83, ""L"": 29, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'SDR Sales Development Representative'},{'N': '65'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 58, ""W"": 53}]'}","{'S': '[{""F"": 32, ""L"": 86, ""O"": 46, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de Beneficios'},{'N': '57'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 92, ""W"": 28}]'}","{'S': '[{""F"": 40, ""L"": 81, ""O"": 41, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '69'},"{'S': '[{""F"": 35, ""L"": 51, ""O"": 92, ""W"": 59}]'}","{'S': '[{""F"": 32, ""L"": 29, ""O"": 87, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '57'},"{'S': '[{""F"": 28, ""L"": 35, ""O"": 80, ""W"": 95}]'}","{'S': '[{""F"": 25, ""L"": 13, ""O"": 46, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Account Manager'},{'N': '56'},"{'S': '[{""F"": 35, ""L"": 87, ""O"": 58, ""W"": 48}]'}","{'S': '[{""F"": 37, ""L"": 88, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Executivo'},{'N': '65'},"{'S': '[{""F"": 75, ""L"": 51, ""O"": 44, ""W"": 48}]'}","{'S': '[{""F"": 83, ""L"": 39, ""O"": 46, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar Administrativo'},{'N': '79'},"{'S': '[{""F"": 13, ""L"": 51, ""O"": 95, ""W"": 95}]'}","{'S': '[{""F"": 8, ""L"": 29, ""O"": 65, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Comercial'},{'N': '70'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 44, ""W"": 53}]'}","{'S': '[{""F"": 69, ""L"": 62, ""O"": 41, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CMO Chief Marketing Officer'},{'N': '61'},"{'S': '[{""F"": 39, ""L"": 74, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 89, ""O"": 30, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador Financeiro'},{'N': '75'},"{'S': '[{""F"": 24, ""L"": 51, ""O"": 88, ""W"": 79}]'}","{'S': '[{""F"": 32, ""L"": 22, ""O"": 72, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Produto'},{'N': '84'},"{'S': '[{""F"": 95, ""L"": 95, ""O"": 15, ""W"": 34}]'}","{'S': '[{""F"": 76, ""L"": 75, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Produto'},{'N': '57'},"{'S': '[{""F"": 45, ""L"": 95, ""O"": 67, ""W"": 43}]'}","{'S': '[{""F"": 32, ""L"": 86, ""O"": 53, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Marketing'},{'N': '74'},"{'S': '[{""F"": 88, ""L"": 95, ""O"": 25, ""W"": 28}]'}","{'S': '[{""F"": 62, ""L"": 88, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Faturamento'},{'N': '39'},"{'S': '[{""F"": 54, ""L"": 95, ""O"": 44, ""W"": 43}]'}","{'S': '[{""F"": 62, ""L"": 81, ""O"": 41, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Promotor de Vendas'},{'N': '68'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 69, ""L"": 50, ""O"": 41, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '68'},"{'S': '[{""F"": 24, ""L"": 51, ""O"": 88, ""W"": 79}]'}","{'S': '[{""F"": 32, ""L"": 75, ""O"": 65, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Tecnico de Producao'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'CDO Chief Digital Officer'},{'N': '54'},"{'S': '[{""F"": 50, ""L"": 74, ""O"": 52, ""W"": 79}]'}","{'S': '[{""F"": 40, ""L"": 75, ""O"": 46, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Pessoal'},{'N': '80'},"{'S': '[{""F"": 39, ""L"": 59, ""O"": 67, ""W"": 59}]'}","{'S': '[{""F"": 40, ""L"": 29, ""O"": 65, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '70'},"{'S': '[{""F"": 14, ""L"": 74, ""O"": 92, ""W"": 88}]'}","{'S': '[{""F"": 25, ""L"": 50, ""O"": 80, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Product Owner'},{'N': '57'},"{'S': '[{""F"": 28, ""L"": 87, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 32, ""L"": 67, ""O"": 46, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Midias Sociais'},{'N': '62'},"{'S': '[{""F"": 32, ""L"": 74, ""O"": 67, ""W"": 59}]'}","{'S': '[{""F"": 32, ""L"": 75, ""O"": 65, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Compras'},{'N': '40'},"{'S': '[{""F"": 32, ""L"": 74, ""O"": 92, ""W"": 43}]'}","{'S': '[{""F"": 25, ""L"": 75, ""O"": 65, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Garantia da Qualidade Software'},{'N': '48'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 52, ""W"": 59}]'}","{'S': '[{""F"": 37, ""L"": 75, ""O"": 30, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente_Medico'},{'N': '75'},"{'S': '[{""F"": 50, ""L"": 87, ""O"": 52, ""W"": 43}]'}","{'S': '[{""F"": 83, ""L"": 62, ""O"": 20, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Closer'},{'N': '67'},"{'S': '[{""F"": 24, ""L"": 95, ""O"": 92, ""W"": 64}]'}","{'S': '[{""F"": 25, ""L"": 50, ""O"": 87, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Desenvolvedor Back End'},{'N': '77'},"{'S': '[{""F"": 39, ""L"": 59, ""O"": 52, ""W"": 79}]'}","{'S': '[{""F"": 40, ""L"": 67, ""O"": 59, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Designer de Produto'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Desenvolvedor Front End'},{'N': '56'},"{'S': '[{""F"": 28, ""L"": 87, ""O"": 80, ""W"": 59}]'}","{'S': '[{""F"": 8, ""L"": 81, ""O"": 72, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador'},{'N': '41'},"{'S': '[{""F"": 60, ""L"": 87, ""O"": 36, ""W"": 28}]'}","{'S': '[{""F"": 83, ""L"": 75, ""O"": 20, ""W"": 8}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Coordenador de Tecnologia'},{'N': '56'},"{'S': '[{""F"": 39, ""L"": 87, ""O"": 80, ""W"": 48}]'}","{'S': '[{""F"": 53, ""L"": 75, ""O"": 41, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador Administrativo de Pessoal'},{'N': '0'},"{'S': '[{""F"": 43, ""L"": 51, ""O"": 52, ""W"": 64}]'}","{'S': '[{""F"": 47, ""L"": 50, ""O"": 41, ""W"": 73}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '35'},"{'S': '[{""F"": 17, ""L"": 59, ""O"": 92, ""W"": 92}]'}","{'S': '[{""F"": 8, ""L"": 29, ""O"": 80, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '71'},"{'S': '[{""F"": 54, ""L"": 74, ""O"": 58, ""W"": 43}]'}","{'S': '[{""F"": 69, ""L"": 62, ""O"": 41, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Desenvolvimento de RH'},{'N': '68'},"{'S': '[{""F"": 13, ""L"": 95, ""O"": 92, ""W"": 79}]'}","{'S': '[{""F"": 37, ""L"": 39, ""O"": 72, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Executivo de Contas'},{'N': '48'},"{'S': '[{""F"": 39, ""L"": 74, ""O"": 80, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 50, ""O"": 53, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '82'},"{'S': '[{""F"": 28, ""L"": 74, ""O"": 88, ""W"": 48}]'}","{'S': '[{""F"": 37, ""L"": 39, ""O"": 72, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '78'},"{'S': '[{""F"": 17, ""L"": 74, ""O"": 95, ""W"": 53}]'}","{'S': '[{""F"": 32, ""L"": 62, ""O"": 72, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Executivo de RH'},{'N': '67'},"{'S': '[{""F"": 50, ""L"": 74, ""O"": 67, ""W"": 28}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 75, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Relacionamento'},{'N': '83'},"{'S': '[{""F"": 54, ""L"": 74, ""O"": 36, ""W"": 43}]'}","{'S': '[{""F"": 62, ""L"": 39, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Account Manager'},{'N': '88'},"{'S': '[{""F"": 88, ""L"": 95, ""O"": 36, ""W"": 53}]'}","{'S': '[{""F"": 69, ""L"": 75, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Desenvolvedor de Mobile'},{'N': '85'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 58, ""W"": 79}]'}","{'S': '[{""F"": 32, ""L"": 13, ""O"": 65, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Farmer'},{'N': '62'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 29, ""W"": 48}]'}","{'S': '[{""F"": 32, ""L"": 93, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Business Partner'},{'N': '42'},"{'S': '[{""F"": 20, ""L"": 51, ""O"": 92, ""W"": 92}]'}","{'S': '[{""F"": 25, ""L"": 50, ""O"": 87, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador Financeiro'},{'N': '58'},"{'S': '[{""F"": 39, ""L"": 87, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 53, ""L"": 67, ""O"": 46, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Economico e Financeiro'},{'N': '52'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 80, ""W"": 43}]'}","{'S': '[{""F"": 32, ""L"": 86, ""O"": 30, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Producao'},{'N': '42'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 67, ""W"": 43}]'}","{'S': '[{""F"": 37, ""L"": 62, ""O"": 72, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
